IndF,year,age,ImmiOrNatal,sex,Mean.GenR.Adult,Mean.PedR.Adult,N.Adult,Mean.GenR.All,Mean.PedR.All,N.All
Akeley,2009,45.01,Immigrant,F,0.00989325581395349,0,43,0.00985895238095238,0,63
Akeley,2009,45.01,Immigrant,M,0.00844053125,0,32,0.00930405263157895,0,57
Akeley,2010,46.01,Immigrant,F,0.00963395652173913,0,46,0.00966369696969697,0,66
Akeley,2010,46.01,Immigrant,M,0.00823883333333333,0,36,0.00900627118644068,0,59
Akeley,2011,47.01,Immigrant,F,0.009233,0,48,0.00957978082191781,0,73
Akeley,2011,47.01,Immigrant,M,0.00809165789473684,0,38,0.00892541791044776,0,67
Akeley,2012,48.01,Immigrant,F,0.00954434615384615,0,52,0.00996122891566265,0,83
Akeley,2012,48.01,Immigrant,M,0.008847025,0,40,0.00857208333333333,0,72
Akeley,2013,49.01,Immigrant,F,0.0106702909090909,0,55,0.0100969195402299,0,87
Akeley,2013,49.01,Immigrant,M,0.00944490243902439,0,41,0.00870931578947368,0,76
Amelia,2007,13.92,Immigrant,F,0.01683834375,0,32,0.0204341851851852,0,54
Amelia,2007,13.92,Immigrant,M,0.0187474,0,30,0.0171048867924528,0,53
Amelia,2008,14.92,Immigrant,F,0.0164564473684211,0,38,0.0205030535714286,0,56
Amelia,2008,14.92,Immigrant,M,0.0187474,0,30,0.0171694285714286,0,56
Amelia,2009,15.92,Immigrant,F,0.0144489534883721,0,43,0.0183258571428571,0,63
Amelia,2009,15.92,Immigrant,M,0.0183400625,0,32,0.0169089824561404,0,57
Amelia,2010,16.92,Immigrant,F,0.0144757826086957,0,46,0.0250158181818182,0.00757575757575758,66
Amelia,2010,16.92,Immigrant,M,0.0187987222222222,0,36,0.0174111016949153,0,59
Amelia,2011,17.92,Immigrant,F,0.0149557916666667,0,48,0.0248705616438356,0.00684931506849315,73
Amelia,2011,17.92,Immigrant,M,0.0186918421052632,0,38,0.0170084328358209,0,67
Amelia,2012,18.92,Immigrant,F,0.0150376923076923,0,52,0.0228984939759036,0.00602409638554217,83
Amelia,2012,18.92,Immigrant,M,0.01864005,0,40,0.0167608333333333,0,72
Amelia,2013,19.92,Immigrant,F,0.015315,0,55,0.0234123103448276,0.00574712643678161,87
Amelia,2013,19.92,Immigrant,M,0.0187726829268293,0,41,0.0164588552631579,0,76
Amelia,2014,20.92,Immigrant,F,0.0154281090909091,0,55,0.0228723707865169,0.00561797752808989,89
Amelia,2014,20.92,Immigrant,M,0.0197528918918919,0,37,0.016845095890411,0,73
Amelia,2015,21.92,Immigrant,F,0.016105,0,57,0.0225252688172043,0.00537634408602151,93
Amelia,2015,21.92,Immigrant,M,0.0193960714285714,0,42,0.0169491447368421,0,76
Amelia,2016,22.92,Immigrant,F,0.01543025,0,56,0.0222522340425532,0.00531914893617021,94
Amelia,2016,22.92,Immigrant,M,0.0182970869565217,0,46,0.0167493037974684,0,79
