IndF,year,age,ImmiOrNatal,sex,Mean.GenR.Adult,Mean.PedR.Adult,N.Adult
Amelia,2008,14.92,Immigrant,F,0.0177883333333333,0,12
Amelia,2008,14.92,Immigrant,M,0.0182444166666667,0,12
Aretha,2008,34.01,Unknown,F,0.0086484,0,5
Aretha,2008,34.01,Unknown,M,0.48829,0.5,1
Bacall,2008,16.76,Immigrant,F,0.00821816666666667,0,12
Bacall,2008,16.76,Immigrant,M,0.00667175,0,12
Bartoli,2008,26.01,Unknown,F,0.0086548,0,5
Bartoli,2008,26.01,Unknown,M,0.016117,0,1
Bessie,2008,46.01,Unknown,M,0.00593113333333333,0,15
Bessie,2008,46.01,Unknown,F,0.0106215454545455,0,11
Binoche,2008,17.01,Natal,F,0.0229940833333333,0,12
Binoche,2008,17.01,Natal,M,0.0356479166666667,0,12
Callas,2008,23.09,Natal,F,0.0183188,0,5
Callas,2008,23.09,Natal,M,0.015972,0,1
Carson,2008,14.75,Immigrant,F,0.00635016666666667,0,12
Carson,2008,14.75,Immigrant,M,0.00740733333333333,0,12
Dahlia,2008,15.68,Immigrant,F,0.00771141666666667,0,12
Dahlia,2008,15.68,Immigrant,M,0.00848458333333333,0,12
Fleming,2008,23.01,Unknown,F,0.0162011666666667,0,12
Fleming,2008,23.01,Unknown,M,0.0136984166666667,0,12
Garbo,2008,53.01,Unknown,F,0.0147231666666667,0,12
Garbo,2008,53.01,Unknown,M,0.0842776666666667,0.0833333333333333,12
Halle,2008,22.01,Natal,M,0.00547013333333333,0,15
Halle,2008,22.01,Natal,F,0.0508385454545455,0.0454545454545455,11
Harper,2008,57.01,Unknown,M,0.0383198666666667,0.0333333333333333,15
Harper,2008,57.01,Unknown,F,0.0136360909090909,0,11
Ingrid,2008,17.59,Immigrant,F,0.0149184,0,5
Ingrid,2008,17.59,Immigrant,M,0.018677,0,1
Jolie,2008,24.01,Natal,F,0.0065618,0,5
Jolie,2008,24.01,Natal,M,0.007493,0,1
Julianne,2008,31.01,Unknown,M,0.0145487333333333,0,15
Julianne,2008,31.01,Unknown,F,0.013605,0,11
Kidman,2008,32.01,Unknown,M,0.0402071333333333,0,15
Kidman,2008,32.01,Unknown,F,0.0148833636363636,0,11
Kundry,2008,37.01,Unknown,F,0.0128688333333333,0,12
Kundry,2008,37.01,Unknown,M,0.0860641666666667,0.0833333333333333,12
Leonora,2008,32.01,Unknown,M,0.0156379333333333,0,15
Leonora,2008,32.01,Unknown,F,0.00876036363636364,0,11
Lita,2008,41.01,Unknown,M,0.0211762,0,15
Lita,2008,41.01,Unknown,F,0.0148437272727273,0,11
Mansfield,2008,18.26,Unknown,F,0.00501691666666667,0,12
Mansfield,2008,18.26,Unknown,M,0.0326435833333333,0,12
Marlene,2008,59.01,Unknown,F,0.0111306,0,5
Marlene,2008,59.01,Unknown,M,0,0,1
Merril,2008,42.01,Unknown,M,0.0012212,0,15
Merril,2008,42.01,Unknown,F,0.0463969090909091,0.0454545454545455,11
Penelope,2008,18.01,Natal,F,0.0263511666666667,0,12
Penelope,2008,18.01,Natal,M,0.0188653333333333,0,12
Pizan,2008,15.01,Immigrant,F,0.0149894166666667,0,12
Pizan,2008,15.01,Immigrant,M,0.0190065,0,12
Quintyn,2008,14.63,Immigrant,F,0.0103894166666667,0,12
Quintyn,2008,14.63,Immigrant,M,0.00975766666666667,0,12
Renee,2008,17.01,Immigrant,M,0.0127138666666667,0,15
Renee,2008,17.01,Immigrant,F,0.0174761818181818,0,11
Rusalka,2008,19.01,Immigrant,F,0.0107134166666667,0,12
Rusalka,2008,19.01,Immigrant,M,0.0105405833333333,0,12
Sarandon,2008,33.01,Unknown,M,0.00844673333333333,0,15
Sarandon,2008,33.01,Unknown,F,0.0203142727272727,0,11
Sills,2008,43.01,Unknown,M,0.0398166,0.0333333333333333,15
Sills,2008,43.01,Unknown,F,0.00816490909090909,0,11
Sutherland,2008,46.01,Unknown,M,0.038982,0.0333333333333333,15
Sutherland,2008,46.01,Unknown,F,0.0136169090909091,0,11
Atwood,2010,14.51,Immigrant,M,0.00620683333333333,0,6
Atwood,2010,14.51,Immigrant,F,0.00501325,0,4
Bartoli,2010,28.01,Unknown,M,0.00674784615384615,0,13
Bartoli,2010,28.01,Unknown,F,3.45e-05,0,2
Bessie,2010,48.01,Unknown,M,0.00944761538461538,0,13
Bessie,2010,48.01,Unknown,F,0.012287,0,2
Callas,2010,25.09,Natal,M,0.0529277692307692,0.0384615384615385,13
Callas,2010,25.09,Natal,F,0.0122785,0,2
Halle,2010,24.01,Natal,M,0.00588,0,4
Halle,2010,24.01,Natal,F,0.105943,0.107142857142857,7
Harper,2010,59.01,Unknown,M,0.01105625,0,4
Harper,2010,59.01,Unknown,F,0.007967,0,7
Julianne,2010,33.01,Unknown,M,0.0142345,0,4
Julianne,2010,33.01,Unknown,F,0.00529014285714286,0,7
Kidman,2010,34.01,Unknown,F,0.004349,0,4
Kidman,2010,34.01,Unknown,M,0.0925468333333333,0.0833333333333333,6
Lita,2010,43.01,Unknown,M,0.13300675,0.125,4
Lita,2010,43.01,Unknown,F,0.005581,0,7
Lucy,2010,15.01,Natal,M,0.01228675,0,4
Lucy,2010,15.01,Natal,F,0.107602,0.107142857142857,7
Mansfield,2010,20.26,Unknown,M,0.0305288181818182,0,11
Mansfield,2010,20.26,Unknown,F,5.5e-06,0,2
Marlene,2010,61.01,Unknown,M,0.062467,0.0625,4
Marlene,2010,61.01,Unknown,F,0.00532414285714286,0,7
Merril,2010,44.01,Unknown,M,0.0035585,0,4
Merril,2010,44.01,Unknown,F,0.137951285714286,0.142857142857143,7
Pizan,2010,17.01,Immigrant,M,0.0226709090909091,0,11
Pizan,2010,17.01,Immigrant,F,0.0156045,0,2
Quintyn,2010,16.63,Immigrant,F,0.0024495,0,4
Quintyn,2010,16.63,Immigrant,M,0.002252,0,6
Rusalka,2010,21.01,Immigrant,M,0.00903372727272727,0,11
Rusalka,2010,21.01,Immigrant,F,0.015608,0,2
Shire,2010,15.01,Immigrant,F,0.0042855,0,4
Shire,2010,15.01,Immigrant,M,0.00936716666666667,0,6
Sills,2010,45.01,Unknown,F,0.00750275,0,4
Sills,2010,45.01,Unknown,M,0.0860061666666667,0.0833333333333333,6
Violetta,2010,30.01,Unknown,M,0.01114575,0,4
Violetta,2010,30.01,Unknown,F,0.00188885714285714,0,7
