"","N","gff","gmm","gfm","gmf","rff","rmf"
"1",0,0.00642158116462368,0.0226850071649522,0.0128431623292474,0.0113425035824761,0.0126879549193017,0.0224108627512627
"2",1,0.00641491012458597,0.0227285259299406,0.0127508716469869,0.0114432115671553,0.0126747740759714,0.0226098446432401
"3",2,0.00641053470599023,0.0227668463515456,0.0126646495979562,0.0115398429897971,0.0126661289911438,0.0228007719402462
"4",3,0.00640824594287484,0.0228004010643569,0.0125840537462759,0.0116326386716523,0.012661606783531,0.0229841204642157
"5",4,0.00640785141609863,0.0228295890766473,0.0125086749081497,0.0117218224623712,0.0126608272655552,0.0231603325040804
"6",5,0.00640917398294822,0.0228547783407931,0.0124381346321158,0.0118076025041772,0.0126634404332681,0.0233298193135605
"7",6,0.00641205060354275,0.0228763081280476,0.0123720828706524,0.0118901724004569,0.0126691241475259,0.0234929634201024
"8",7,0.00641633125667465,0.0228944912225436,0.0123101958285966,0.0119697122960245,0.0126775819918746,0.0236501207592959
"9",8,0.00642187793828459,0.0229096159482691,0.0122521739749427,0.0120463898757611,0.0126885412937061,0.0238016226480173
"10",9,0.00642856373628578,0.022921948041715,0.0121977402056042,0.0121203612878248,0.0127017512962684,0.0239477776085359
"11",10,0.00643627197593068,0.0229317323819308,0.0121466381456713,0.0121917719971554,0.012716981470055,0.0240888730548931
"12",11,0.00644489543035443,0.0229391945888289,0.0120986305805627,0.0122607575745605,0.0127340199529725,0.0242251768520047
"13",12,0.00645433559133711,0.0229445424997575,0.0120534980062798,0.0123274444262732,0.0127526721094911,0.0243569387571413
"14",13,0.00646450199570421,0.0229479675335977,0.0120110372897134,0.0123919504684939,0.0127727591997255,0.0244843917527099
"15",14,0.00647531160313242,0.0229496459509388,0.0119710604306424,0.0124543857510918,0.0127941171500851,0.0246077532785815
"16",15,0.00648668822144989,0.0229497400182339,0.0119333934176968,0.0125148530343199,0.0128165954177649,0.024727226371582
"17",16,0.00649856197581752,0.0229483990832399,0.0118978751711478,0.0125734483221072,0.0128400559419376,0.0248430007191873
"18",17,0.00651086881845213,0.022945760568487,0.0118643565659272,0.0126302613552205,0.0128643721750496,0.0249552536339277
"19",18,0.00652355007580678,0.0229419508890137,0.0118326995287826,0.0126853760673378,0.0128894281881266,0.0250641509545107
"20",19,0.00653655203035745,0.0229370863001266,0.0118027762039341,0.0127388710068441,0.0129151178444547,0.0251698478792192
"21",20,0.00654982553436244,0.0229312736805088,0.011774468182031,0.0127908197269483,0.0129413440364343,0.025272489736715
"22",21,0.00656332565316087,0.0229246112555939,0.0117476657875985,0.0128412911465202,0.0129680179807992,0.0253722126989924
"23",22,0.00657701133576183,0.0229171892657497,0.0117222674205315,0.012890349883867,0.0129950585677558,0.0254691444408637
"24",23,0.0065908451106464,0.0229090905834713,0.0116981789475304,0.012938056565498,0.01302239175994,0.0255634047500253
"25",24,0.00660479280486319,0.022900391283462,0.0116753131396854,0.012984468111772,0.0130499500373976,0.0256551060914494
"26",25,0.00661882328464353,0.0228911611691868,0.0116535891527032,0.0130296380011772,0.0130776718850836,0.0257443541295557
"27",26,0.00663290821589758,0.022881464259211,0.011632932046539,0.0130736165148617,0.0131055013196436,0.0258312482113622
"28",27,0.00664702184307721,0.0228713592363842,0.0116132723414386,0.0131164509629079,0.0131333874524842,0.0259158818135656
"29",28,0.0066611407850066,0.0228608998626961,0.0115945456076278,0.0131581858937334,0.0131612840863685,0.025998342956281
"30",29,0.00667524384638781,0.0228501353624188,0.0115766920860919,0.0131988632878931,0.0131891493429839,0.0260787145859625
"31",30,0.0066893118437871,0.0228391107759476,0.0115596563380852,0.0132385227374627,0.0132169453191199,0.0261570749298348
