"","N","gff","gmm","gfm","gmf","rff","rmf"
"1",0,0.00192499365620113,0.0393781556132066,0.0173249429058101,0.00437535062368963,0.00380748679534559,0.00865410110367906
"2",1,0.00190896286312138,0.0396533403675033,0.0163713499761797,0.00521524249941308,0.00377577914125883,0.0103153415010349
"3",2,0.00189728446670828,0.0398836252443272,0.0154875650162961,0.00601950910011482,0.00375268018714516,0.0119061178925543
"4",3,0.00188950792903812,0.0400734024557729,0.0146683914895036,0.00678978014470309,0.00373729880425215,0.0134296537346904
"5",4,0.00188522152907069,0.0402266903801112,0.0139090233486322,0.00752760267746082,0.00372882064058496,0.0148890089599576
"6",5,0.00188404923771204,0.0403471636082101,0.013205015540468,0.00823444577763033,0.0037265019400251,0.0162870892921223
"7",6,0.00188564783705386,0.0404381806396351,0.0125522567444646,0.00891170497120186,0.00372966384441135,0.0176266549723744
"8",7,0.00188970426497669,0.0405028094097836,0.011946944176192,0.00956070636524085,0.00373768714137272,0.0189103289367036
"9",8,0.00189593316774384,0.0405438508155101,0.0113855602988981,0.0101827105236309,0.0037500074235508,0.0201406044818158
"10",9,0.0019040746445425,0.0405638603938675,0.0108648512984414,0.0107789161017597,0.00376611062747858,0.0213198524542566
"11",10,0.00191389216915697,0.0405651682967356,0.010381807187849,0.0113504632564232,0.00378552892281278,0.0224503279949362
"12",11,0.00192517067509346,0.0405498976931584,0.00993364341790298,0.0118984368460669,0.00380783692486052,0.0235341768689547
"13",12,0.00193771479152407,0.0405199817210987,0.00951778387954462,0.0124238694354052,0.0038326482054146,0.0245734414085054
"14",13,0.00195134721838551,0.0404771791009797,0.00913184519255305,0.0129277441174699,0.00385961207882595,0.0255700660946648
"15",14,0.00196590722986263,0.0404230885147538,0.00877362218296887,0.0134109971652119,0.00388841064201114,0.0265259028020539
"16",15,0.00198124929631231,0.0403591618462752,0.00844107445913464,0.013874520523929,0.00391875604872576,0.027442715728665
"17",16,0.00199724181544676,0.040286716371389,0.00813231400306604,0.014319164154998,0.00395038799994418,0.0283221860315806
"18",17,0.00201376594429928,0.0402069459793589,0.00784559370018808,0.0147457382406564,0.00398307143357934,0.0291659161878588
"19",18,0.00203071452414694,0.0401209315009746,0.00757929673631233,0.0151550152588962,0.0040165943980639,0.0299754340985109
"20",19,0.0020479910911654,0.0400296502128855,0.00733192679612871,0.0155477319369027,0.00405076609550289,0.0307521969522506
"21",20,0.00206550896614628,0.0399339845823554,0.00710209900247283,0.0159245910908832,0.00408541508120597,0.0314975948645312
"22",21,0.00208319041712062,0.0398347303116853,0.00688853154023923,0.0162862633595892,0.00412038760742208,0.0322129543063168
"23",22,0.00210096588920494,0.0397326037369924,0.00669003791306939,0.0166333888383297,0.00415554610003531,0.0328995413360325
"24",23,0.00211877329642432,0.0396282486318102,0.00650551978487937,0.0169665786198073,0.00419076775784635,0.0335585646472175
"25",24,0.00213655737067055,0.0395222424620903,0.00633396036192828,0.0172864162476722,0.00422594326486261,0.0341911784435422
"26",25,0.00215426906332641,0.0394151021355835,0.00617441827448974,0.0175934590882906,0.00426097560675796,0.0347984851520572
"27",26,0.00217186499543176,0.0393072892852648,0.00602602192029359,0.0178882396258439,0.00429577898334421,0.0353815379847995
"28",27,0.00218930695258502,0.0391992151233994,0.00588796423477513,0.0181712666855344,0.00433027780952584,0.0359413433581969
"29",28,0.00220656142106769,0.0390912449000165,0.00575949785582061,0.018443026589346,0.00436440579779055,0.036478863179072
"30",29,0.00222359916195038,0.0389837019969474,0.00563993065314848,0.0187039842485102,0.00439810511582434,0.0369950170054554
"31",30,0.00224039482018975,0.038876871686169,0.00552862159473026,0.0189545841965518,0.00443132561333588,0.0374906840898685
