"","N","gff","gmm","gfm","gmf","rff","rmf"
"1",0,0.00151632738692666,0.0156903638993208,0.0136650346583264,0.0017433737665912,0.00302051353377148,0.00347278833173616
"2",1,0.00151566068345869,0.0160011361944341,0.0125073988241655,0.00292773070695433,0.00301918546513315,0.00583201906121189
"3",2,0.00151801839436649,0.0162351473260855,0.0114604505807595,0.00402027164954193,0.0030238820087471,0.00800835296623613
"4",3,0.00152288282017482,0.0164034711532088,0.0105134986959871,0.00502824087179258,0.00303357191088485,0.0100162205967246
"5",4,0.0015298036973576,0.0165158214417395,0.00965689298237185,0.00595829921741565,0.00304735824975624,0.011868890306691
"6",5,0.00153839031460619,0.0165807066690053,0.00888192228096131,0.0068165721785332,0.00306446273117119,0.0135785640335371
"7",6,0.00154830450044749,0.0166055679497934,0.00818072249149725,0.00760869391639721,0.003084211719924,0.0151564649870128
"8",7,0.00155925438903802,0.0165969018758931,0.00754619365580075,0.00833984757247501,0.00310602382129877,0.016612917948616
"9",8,0.00157098888071693,0.0165603698740023,0.00697192519974273,0.00901480219047188,0.0031293988465299,0.0179574228200035
"10",9,0.00158329272265031,0.016500895519239,0.00645212852783923,0.00963794654147035,0.00315390801347998,0.0191987220024308
"11",10,0.00159598214274364,0.0164227510911493,0.00598157624437022,0.0102133201185486,0.00317918524942394,0.0203448621378153
"12",11,0.00160890097703189,0.0163296345242832,0.00555554734684973,0.0107446415437573,0.00320491947683725,0.0214032506952351
"13",12,0.0016219172370607,0.0162247377845236,0.00516977780246128,0.0112353346089695,0.00323084777564334,0.02238070784412
"14",13,0.00163492006942201,0.016110807593985,0.00482041597642779,0.011688552152679,0.00325674932662985,0.0232835140166655
"15",14,0.0016478170646704,0.0159901993301489,0.0045039824338475,0.0121071979571264,0.00328244005082872,0.0241174535267557
"16",15,0.00166053187738263,0.0158649248378386,0.00421733368387438,0.0124939468340271,0.00330776786869165,0.0248878545805924
"17",16,0.00167300212318702,0.0157366948146067,0.00395762947777049,0.0128512630525084,0.00333260851098724,0.0255996259850159
"18",17,0.00168517752222904,0.0156069563601941,0.00372230331077656,0.013181417249504,0.00335686182059738,0.0262572908328941
"19",18,0.00169701826179926,0.0154769262180858,0.0035090358123557,0.0134865019506917,0.00338044849088381,0.0268650174207202
"20",19,0.00170849355376896,0.0153476201810785,0.00331573074054248,0.0137684458189692,0.00340330719210974,0.0274266476314769
"21",20,0.00171958036509112,0.015219879082527,0.00314049332421672,0.0140290267373638,0.00342539204260686,0.0279457229957021
"22",21,0.00173026230196386,0.0150943917499383,0.00298161072242438,0.014269883824064,0.00344667038603663,0.028425508625346
"23",22,0.00174052863034575,0.0149717152572932,0.00283753439266514,0.0144925284688621,0.00346712084026373,0.0288690151982882
"24",23,0.00175037341738547,0.0148522927764127,0.00270686418060405,0.0146983544726446,0.00348673158708988,0.0292790191561321
"25",24,0.0017597947800028,0.0147364692954093,0.00258833396217007,0.0148886473645831,0.00350549887543248,0.0296580812639832
"26",25,0.00176879422835617,0.014624505443381,0.00248079868567669,0.0150645929653076,0.00352342571351651,0.0300085636682304
"27",26,0.00177737609327101,0.0145165896346653,0.00238322267662262,0.0152272852585309,0.00354052072831593,0.030332645576767
"28",27,0.00178554702790063,0.0144128487228589,0.00229466908136704,0.0153777336282884,0.00355679717286552,0.030632337675521
"29",28,0.00179331557496078,0.0143133573341407,0.00221429033807119,0.0155168695141114,0.00357227206419519,0.0309094953855149
"30",29,0.00180069179183502,0.0142181460309536,0.00214131957428929,0.0156455525320331,0.0035869654365426,0.0311658310558658
"31",30,0.00180768692670189,0.0141272084405869,0.00207506284049688,0.0157645761052831,0.00360089969620057,0.0314029251800892
